Origem - Cidade,Destino - Cidade,Latitude_Origem,Longitude_Origem,Latitude_Destino,Longitude_Destino,Distância (GCD)
Tóquio,"João Pessoa, Paraíba",35.676422,139.650027,-7.121598,-34.882028,16791.388079
"João Pessoa, Paraíba",Tóquio,-7.121598,-34.882028,35.676422,139.650027,16791.388079
Las Vegas,"João Pessoa, Paraíba",36.171563,-115.139101,-7.121598,-34.882028,9609.831314
"João Pessoa, Paraíba",Las Vegas,-7.121598,-34.882028,36.171563,-115.139101,9609.831314
Campinas,"João Pessoa, Paraíba",-22.905822,-47.06635,-7.121598,-34.882028,2186.14279
"João Pessoa, Paraíba",Campinas,-7.121598,-34.882028,-22.905822,-47.06635,2186.14279
"Recife, Pernambuco","Brasília, Distrito Federal",-8.058493,-34.884819,-15.793987,-47.8828,1654.009901
"Brasília, Distrito Federal","João Pessoa, Paraíba",-15.793987,-47.8828,-7.121598,-34.882028,1712.490321
"João Pessoa, Paraíba","Brasília, Distrito Federal",-7.121598,-34.882028,-15.793987,-47.8828,1712.490321
"São Paulo, São Paulo","João Pessoa, Paraíba",-23.550651,-46.633382,-7.121598,-34.882028,2216.197905
Sinop,"João Pessoa, Paraíba",-11.860852,-55.509488,-7.121598,-34.882028,2321.827738
"João Pessoa, Paraíba","Cuiabá, Mato Grosso",-7.121598,-34.882028,-15.598669,-56.09913,2495.026672
"Cuiabá, Mato Grosso",Sinop,-15.598669,-56.09913,-11.860852,-55.509488,420.476049
"João Pessoa, Paraíba","Belo Horizonte, Minas Gerais",-7.121598,-34.882028,-19.922732,-43.945095,1726.670817
"Belo Horizonte, Minas Gerais","João Pessoa, Paraíba",-19.922732,-43.945095,-7.121598,-34.882028,1726.670817
"João Pessoa, Paraíba","Salvador, Bahia",-7.121598,-34.882028,-12.98225,-38.481277,761.46256
"Salvador, Bahia","João Pessoa, Paraíba",-12.98225,-38.481277,-7.121598,-34.882028,761.46256
"Recife, Pernambuco",Lisboa,-8.058493,-34.884819,38.722252,-9.139337,5842.967135
Lisboa,"Recife, Pernambuco",38.722252,-9.139337,-8.058493,-34.884819,5842.967135
"João Pessoa, Paraíba",Foz do Iguaçu,-7.121598,-34.882028,-25.54321,-54.583145,2926.393516
Foz do Iguaçu,"João Pessoa, Paraíba",-25.54321,-54.583145,-7.121598,-34.882028,2926.393516
Iaundê,"São Paulo, São Paulo",3.868987,11.521334,-23.550651,-46.633382,6993.644437
"São Paulo, São Paulo",Iaundê,-23.550651,-46.633382,3.868987,11.521334,6993.644437
"João Pessoa, Paraíba","São Paulo, São Paulo",-7.121598,-34.882028,-23.550651,-46.633382,2216.197905
"Rio de Janeiro, Rio de Janeiro","João Pessoa, Paraíba",-22.911014,-43.209373,-7.121598,-34.882028,1968.773596
"João Pessoa, Paraíba","Rio de Janeiro, Rio de Janeiro",-7.121598,-34.882028,-22.911014,-43.209373,1968.773596
"Brasília, Distrito Federal","Recife, Pernambuco",-15.793987,-47.8828,-8.058493,-34.884819,1654.009901
"Manaus, Amazonas","João Pessoa, Paraíba",-3.200177,-59.498929,-7.121598,-34.882028,2760.118324
"João Pessoa, Paraíba","Manaus, Amazonas",-7.121598,-34.882028,-3.200177,-59.498929,2760.118324
"Salvador, Bahia","Recife, Pernambuco",-12.98225,-38.481277,-8.058493,-34.884819,673.973876
"Fortaleza, Ceará","João Pessoa, Paraíba",-3.730451,-38.521799,-7.121598,-34.882028,551.793259
"João Pessoa, Paraíba","Fortaleza, Ceará",-7.121598,-34.882028,-3.730451,-38.521799,551.793259
Guarulhos,"João Pessoa, Paraíba",-23.454237,-46.533745,-7.121598,-34.882028,2201.542366
"João Pessoa, Paraíba",Guarulhos,-7.121598,-34.882028,-23.454237,-46.533745,2201.542366
Santa Rita,"Salvador, Bahia",-7.151193,-34.970712,-12.98225,-38.481277,753.646961
"Salvador, Bahia",Santa Rita,-12.98225,-38.481277,-7.151193,-34.970712,753.646961
Cascavel,"João Pessoa, Paraíba",-4.130065,-38.241489,-7.121598,-34.882028,498.819799
"João Pessoa, Paraíba",Cascavel,-7.121598,-34.882028,-4.130065,-38.241489,498.819799
"São Luís, Maranhão","João Pessoa, Paraíba",-2.529526,-44.296394,-7.121598,-34.882028,1161.125651
"João Pessoa, Paraíba","São Luís, Maranhão",-7.121598,-34.882028,-2.529526,-44.296394,1161.125651
"Recife, Pernambuco","Salvador, Bahia",-8.058493,-34.884819,-12.98225,-38.481277,673.973876
